name,cagr,vol,downside_vol,sharpe,sortino,omega,max_drawdown,calmar,ulcer,tail_ratio,hit_rate,turnover_avg,period,n_months
risk_parity,0.06461578092003917,0.04311449296882846,0.022822592947703745,1.477526225094102,2.7912163262539664,3.085468826284684,-0.06400657387703101,1.009517882400307,1.0923928077237088,1.2792629607577786,0.6944444444444444,0.012427806748301766,B_2011_2019,108
mean_variance_lw,0.07801728628923876,0.0592464348490605,0.03360345212124016,1.301491682371977,2.2946672826363095,2.5667502579357655,-0.08475654628942253,0.920486849745259,1.6676061339552386,1.1531349511345796,0.6944444444444444,0.02838631132111451,B_2011_2019,108
faber_10mo_sma,0.17588620711480396,0.08300938959771698,0.03841677809687787,2.006174684122079,4.3348595120448286,4.245278078575286,-0.06821843578915587,2.5782796846649942,1.6494815858514758,1.7663001842933965,0.7685185185185185,0.21296296296296297,B_2011_2019,108
ts_momentum_12mo,0.10637091890398431,0.06297673386111419,0.03570208563657865,1.6434306264769813,2.898931290355935,3.421131996050785,-0.07160798396607015,1.4854617182685355,1.5197225065172035,1.6943868484396425,0.7592592592592593,0.16666666666666666,B_2011_2019,108
vol_target_60_40,0.11167777834313064,0.09309208224676378,0.05714057742435237,1.1889779537188647,1.9370548644475822,2.3727703576888026,-0.12593863794657245,0.8867634283174337,2.689046370273054,1.2185021424829394,0.7222222222222222,0.011740027847710237,B_2011_2019,108
myopic_12mo,0.15191395178415035,0.08162881827507079,0.041106348284222036,1.7833091498157727,3.5412880149817894,3.7960165044180787,-0.08475654628942253,1.7923565604643914,1.9117196213051668,1.7134376061465801,0.7592592592592593,0.2518518518518518,B_2011_2019,108
hmm_conditional_mv,0.06570274542559895,0.04128787484533131,0.021840456784825366,1.565914536027857,2.9602532593056377,3.0250342160989625,-0.038553414396882646,1.7042004308420358,0.9948644671456958,1.3450981247678595,0.7222222222222222,0.0,B_2011_2019,108
black_litterman_hmm,0.07588287101661262,0.05661787675315899,0.03099574312342269,1.3239667989143529,2.4184027060658457,2.6634757328572447,-0.08475654628942253,0.895303953956447,1.521288646857273,1.3900219149175268,0.6944444444444444,0.011866622294276753,B_2011_2019,108
qmdp,0.12443812476724991,0.11495153466197845,0.07151030174842869,1.0829318849563039,1.740793690789475,2.2031862383812855,-0.16622347627164058,0.7486194342602636,3.7232914729622557,0.9122236950430284,0.7222222222222222,0.0,B_2011_2019,108
static_60_40,0.08586294878665601,0.11633028561925607,0.07592223575201296,0.7689825365950689,1.1782576900200497,1.7157106607911305,-0.21126054263465954,0.40643154521827535,7.180468214866208,1.323566508515377,0.6623376623376623,0.0,C_2020_2026,77
equal_weight,0.07272273308312616,0.1037417537250673,0.06821816354793186,0.7307436423723005,1.1112674842072043,1.6694426824440027,-0.2004128473130331,0.3628646269844044,6.94181177725501,1.2952972588488545,0.6623376623376623,0.0,C_2020_2026,77
inverse_vol,0.03995979431851859,0.08631575169688886,0.05678786477847526,0.497851579725704,0.7567185965723422,1.4412230276610394,-0.16770514109392332,0.23827411645143962,6.5494020459573195,1.1904557971383216,0.6493506493506493,0.019111362060170983,C_2020_2026,77
risk_parity,0.05342091760545076,0.09772412993554176,0.06661194171818804,0.5828416203691892,0.8550672562851949,1.5199994881398866,-0.2004128473130331,0.2665543567773897,7.725462672145258,1.1978417338989589,0.6753246753246753,0.013064477641122688,C_2020_2026,77
mean_variance_lw,0.09695324605216515,0.12595819489427662,0.0794790437433291,0.8005169886412455,1.2686573733458701,1.7489562516091948,-0.21126054263465954,0.45892737395752076,7.274449803111291,1.1081048380455694,0.6493506493506493,0.01038961038961039,C_2020_2026,77
faber_10mo_sma,0.18505682854285688,0.12291293403178896,0.060456682121876555,1.4518161508003786,2.951650280937941,2.7743826553855673,-0.13472952958874973,1.3735431950792591,4.01786430466995,1.5642547070738066,0.6623376623376623,0.3246753246753247,C_2020_2026,77
ts_momentum_12mo,0.09003718132336158,0.11797233965048724,0.07733932671480256,0.7927678696231396,1.2092771472404586,1.7366780049081045,-0.21976973480893802,0.40968871988509936,7.473172851297797,1.1385345095365438,0.6753246753246753,0.07792207792207792,C_2020_2026,77
